RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.37762876,28.19008516,172.8,246.09,73.29,295.615602,0.00376648,94.11070313,666.1614555,150.92,295.27,49.18,160.17,37.76393934,110.15,219.11,0.424521981,-0.238354822
-88.14503126,21.83064027,162.14,212.83,50.69,220.24577,0.019445726,79.39800031,627.2355069,156.42,299.62,86.79,159.54,35.13834265,106.08,212.31,0.395181621,-0.230272342
-88.12395293,26.67847047,154.46,217.27,62.81,287.9778255,0.03529334,77.16768023,600.5721941,200.17,395.44,178.17,178.48,37.35858883,127.37,248.28,0.379011007,-0.202038366
-88.48849046,25.31562989,282.91,370.47,87.56,272.2276418,-0.113416464,64.13892235,423.2173526,244.95,405.96,35.49,181.86,20.59685187,127.99,243.44,0.208070476,-0.11133346
-88.21471227,29.07480999,216.7,308.19,91.49,303.2668548,-0.032471781,60.45354349,400.4118848,250.51,408.01,99.82,193.53,19.52038011,117.3,227.22,0.182372985,-0.119712611
-87.52846667,35.88927392,124.31,216.12,91.81,379.9964783,0.117225379,70.6325497,375.9246001,235.13,454.08,237.96,175.8,15.44747584,120.85,251.02,0.160054137,-0.084261802
-88.99434915,34.85012433,231.37,332.67,101.3,365.5613245,-0.081449325,66.90395218,447.3866865,251.92,439.5,106.83,185.99,23.44473776,134.59,255.52,0.232884978,-0.122447654
-88.50479101,26.84419263,230.32,308.35,78.03,269.0515306,-0.082714108,60.86304802,406.6921743,247.96,410.51,102.16,186.19,19.3668728,123,235,0.191114514,-0.113783292
-87.64509075,36.07396154,171.83,263.07,91.24,383.2461803,0.00314688,73.94736071,510.9738189,180.75,332.49,69.42,162.77,26.24490103,109.92,218.81,0.292793455,-0.165600249
-88.76427251,33.79377424,230.75,298.14,67.39,354.0943045,-0.09592804,75.23510066,495.8660257,188.05,326.8,28.66,163.51,25.02039052,114.79,221.98,0.278537409,-0.150251357
-88.2261513,21.19666919,196.45,268.39,71.94,225.1271248,-0.018400445,83.85265558,613.4174651,159.99,305.24,36.85,160.32,33.95644621,110.02,217.79,0.382672606,-0.215554234
-88.08369067,25.57296051,218.26,284.6,66.34,275.4330185,-0.047868965,70.40363632,417.0318595,201.35,333.22,48.62,164.22,17.97853903,110.52,216.56,0.201013144,-0.113948744
-88.48961368,25.76481887,164.9,217.46,52.56,265.6730589,-0.000462199,81.72497784,621.5817493,193.03,366.99,149.53,178.53,39.28510874,122.47,238.22,0.397150376,-0.223949897
-88.75183425,34.02198746,192.42,256.68,64.26,357.1300818,-0.032097318,72.42111014,527.1644355,200.12,348.01,91.33,174.47,29.99573758,114.72,222.83,0.311385213,-0.187056522
-88.69553036,26.42936279,222.07,301.65,79.58,280.4453513,-0.059892011,71.79190088,556.6124654,221.16,393.13,91.48,185.45,34.78406473,127.41,241.92,0.340468385,-0.195185301
-88.60548328,18.94778936,192.81,248.8,55.99,211.6870743,0.004660018,79.48362312,622.7210155,152.64,299.92,51.12,156.61,33.74899975,107.31,214.32,0.388572888,-0.218002735
-88.26966747,25.08170616,189.88,255.97,66.09,272.3144829,0.001314902,67.24719747,500.5866023,205.59,356.46,100.49,176.76,28.0774726,112.04,219.88,0.286206218,-0.177764332
-88.61953086,34.61794858,195.1,268.16,73.06,372.2181519,-0.032625461,69.81271679,611.9209003,186.13,328.59,60.43,173.15,37.39875361,113.33,218.37,0.388388902,-0.238366881
-88.3041456,24.45828406,196.31,260.6,64.29,227.1727072,-0.005129935,74.95388417,450.5625995,170.36,303.48,42.88,152.28,19.25802165,103.76,209.31,0.231156332,-0.127127554
-87.68708277,27.25604872,184.7,265.77,81.07,279.9754977,-0.005966425,60.21964357,404.347554,245.69,415,149.23,195.25,20.19388445,112.71,224.59,0.183649202,-0.125140833
-88.30983814,36.28235889,194.97,292.96,97.99,389.2402387,-0.042970376,84.17784792,635.7697341,170.61,321.93,28.97,167.24,37.42318556,116.14,225.46,0.404644507,-0.226534613
-88.51714451,23.45875201,192.49,272.68,80.19,252.8372239,-0.011648816,64.91640399,501.023841,245.92,447.14,174.46,194.42,30.7635533,129.58,250.81,0.286602923,-0.166317412
-88.5471717,23.38672708,171.1,223.51,52.41,256.9108413,0.039522442,82.83023315,463.441379,148.5,286.89,63.38,144,18.84101983,99.2,207.09,0.239225863,-0.12707186
-87.83059987,26.10553819,181.42,252.99,71.57,280.5663128,0.030763635,80.73542076,459.4001163,155.23,279.48,26.49,147.1,19.16907085,98.7,202.86,0.237683306,-0.132047563
-88.70123691,40.84146926,188.21,262.85,74.64,435.5395637,-0.066490839,77.48999185,592.3538045,179.75,330.61,67.76,167.94,34.18679936,115.36,223.93,0.368520919,-0.210044111
-88.40119714,26.76222035,216.65,305.66,89.01,281.9145581,-0.06796614,73.28558874,475.4484537,245.97,431.89,126.23,191.04,27.20066484,131.49,251.97,0.261222909,-0.147257545
-88.24091943,37.43732584,188.74,269.29,80.55,403.9038759,-0.007610635,79.14013553,483.7265941,168.38,301.6,32.31,154.61,22.36523172,105.82,211.68,0.263715695,-0.145019994
-88.75137347,31.5303649,252.66,330.98,78.32,331.5668218,-0.073310955,62.58390003,382.9807803,224.54,365.77,34.79,167.66,15.167854,118.64,228.51,0.167542071,-0.08720513
-88.51130945,35.78399017,162.2,231.93,69.73,369.7137909,0.03380662,87.97297128,437.4179511,152.26,286.07,54.14,144,16.72393448,101.17,209.93,0.213832065,-0.110507346
-87.75952311,37.81417438,165.97,248.49,82.52,399.4305576,0.028296383,68.18595312,405.325289,207.71,353.84,105.35,172.21,17.9392339,106.36,214.29,0.189913213,-0.117708444
-88.58318294,38.42961226,172.69,237.66,64.97,405.0898276,-0.012085731,72.48628601,505.8335755,201.93,353.81,116.15,175.39,28.17384793,112.96,222.09,0.290927702,-0.176451112
-88.35630928,35.31322425,176.98,253.2,76.22,364.6223194,-0.021858827,79.18206368,522.1653793,210.02,379.44,126.24,179.69,30.27117869,121.3,236.83,0.306852852,-0.175494745
-88.17198238,39.80671436,167.84,268.74,100.9,431.527416,0.002309938,82.34326543,505.4805514,204.89,381.12,112.38,174.17,27.56358158,122.38,241.06,0.289562439,-0.155974826
-88.8561473,30.03475364,254.71,329.19,74.48,310.3451054,-0.133359637,72.47313841,577.1797693,192.13,343.19,14,172.03,33.96526479,120.61,229.27,0.35709451,-0.196577179
-87.77451695,40.43623593,136.33,221.41,85.08,427.2087826,0.052320008,91.89366558,535.2085244,187.59,361.23,139.82,170.6,29.82182667,118.68,238,0.317109644,-0.170972775
-88.57330914,41.81144512,189.47,269.17,79.7,451.7817865,-0.032801943,76.43738902,435.3526609,171.82,311.7,42.53,150.4,17.55168312,107.44,215.68,0.215066212,-0.109670615
-88.17054354,36.59254822,150.04,251.98,101.94,381.9387427,0.056551248,78.84386956,482.0076777,198.73,380.78,128.8,169.31,24.70351885,118.05,237.18,0.266069207,-0.142356519
-88.55852641,26.61567702,254.86,345.19,90.33,246.7558931,-0.093962676,69.01197017,495.9348554,231.4,394.78,49.59,184.12,28.50125034,127.79,241.5,0.28172022,-0.156916334
-88.86707942,36.08313173,179.3,252.97,73.67,379.7951092,-0.02360463,76.52231362,579.9078742,210.27,396.49,143.52,182.11,36.09832292,127.87,246.66,0.361033222,-0.198225037
-88.55792492,41.56874264,152.83,214.29,61.46,448.0377955,0.04836289,82.81941506,525.1849943,147.26,274.03,59.74,148.24,24.46396668,98.31,202.4,0.299095568,-0.170732152
-88.98695847,38.20412665,202.49,298.28,95.79,405.9912868,-0.05299867,81.63272871,598.5463419,195.2,360.58,62.3,175.94,36.36648472,124.74,238.56,0.376067093,-0.206153117
-88.6045388,33.43191864,206.68,320.73,114.05,348.1563649,-0.031504119,76.46073711,577.3900503,184.42,352.79,32.06,168.29,32.88265605,119.82,232.98,0.355082035,-0.190320906
-88.24010427,22.03838459,219.36,309.66,90.3,244.9173596,-0.031195651,74.17046072,516.1600594,194.22,363.55,53.89,168.07,27.57073697,118.68,232.65,0.29887359,-0.160116839
-88.6931205,31.04257169,206.35,279.44,73.09,324.6350602,-0.068833472,75.99638877,543.9280751,215.35,381.84,102.4,182.11,32.81890105,124.99,239.08,0.328041729,-0.187830909
-88.84248985,33.16601909,211.46,269.14,57.68,345.5009015,-0.060950176,68.41090185,435.2484938,204.55,341.72,72.58,166.11,19.87142134,113.06,219.75,0.219409737,-0.124330131
-88.61738332,32.06344628,200.1,265.63,65.53,335.5588154,-0.023674895,74.09372458,538.7643399,158.51,293.78,28.15,153.27,26.67772711,104.2,208.26,0.31474979,-0.176487365
-88.46212363,38.25571973,204.36,275.48,71.12,413.0091823,-0.035876113,71.85821373,446.0208918,158.56,291.8,16.32,145.35,17.74262662,101.92,206.81,0.22386679,-0.115418265
-87.88108613,34.56643189,165.81,260.17,94.36,367.4525823,0.022513636,81.71016574,533.6316853,181.24,332.15,71.98,166.38,29.00495846,111.5,221.79,0.31541883,-0.180809511
-88.41660289,36.58025256,177.18,240.75,63.57,384.0298031,-0.010856118,68.61424206,493.0479846,188,324.27,83.52,166.25,25.47309328,106.35,210.9,0.27717197,-0.169817351
-88.85494272,36.56730102,239.16,338.2,99.04,384.8756096,-0.098631537,64.72879395,448.9531628,252.19,409.48,71.28,191.06,24.44859656,128.8,241.14,0.233891983,-0.136626627
-88.39256768,35.61519822,238.72,352.24,113.52,378.415639,-0.102168772,68.33190802,456.0203548,230.31,387.96,35.72,178.68,23.53289599,126.09,239.59,0.241409537,-0.129816909
-88.79902005,34.23619914,165.86,219.57,53.71,356.0297571,0.008044831,72.34936052,558.8499356,178.76,324.91,105.34,166.58,31.3473714,108.42,215,0.339108729,-0.203052259
-88.92420303,39.56401274,179.39,260.77,81.38,421.1029782,-0.020775386,79.32634856,614.9687588,188.32,351.72,90.95,174.37,37.50492824,120.38,232.64,0.389979725,-0.220690722
-88.39833153,31.00687199,180.41,248.24,67.83,320.19992,0.006476106,66.24318668,415.002992,212.73,372.03,123.79,172.03,18.73809672,111.72,222.56,0.199703934,-0.117298928
-88.45266202,37.42905559,165.16,254.6,89.44,400.7575779,0.007122445,78.76930452,599.6007027,205.36,390.74,136.14,181.84,37.92588959,127.25,246.04,0.378638725,-0.208533484
-88.15877413,37.97921817,173.76,250.5,76.74,404.4099362,0.002442375,60.88875787,372.0102979,241.59,411.72,161.22,188.24,16.09503034,111.75,224.44,0.154629614,-0.100195866
-87.87986475,25.55121585,194.68,267.53,72.85,273.4120228,-0.018673608,69.16842629,485.7846768,203.54,343.76,76.23,175,26.32687743,109.97,215.93,0.271347882,-0.170801054
-88.44904049,25.32144306,162.25,231.7,69.45,258.0659503,0.029904162,73.89323017,511.3535153,229.41,442.79,211.09,185.25,30.31468588,130.7,257.67,0.29703768,-0.158293272
-88.41903335,33.70922634,161.86,233.89,72.03,352.6903086,0.017043462,83.04227029,679.4214528,144.42,282.58,48.69,156.1,37.62095255,105.24,210.33,0.432709913,-0.250032238
-88.60717008,31.1110667,170.39,229.97,59.58,327.0803064,0.002954254,72.30840048,539.6544863,203.65,376.97,147,177.23,31.70502997,118.92,233.1,0.32364833,-0.185897831
-88.06834753,19.63383949,181.81,249.6,67.79,225.1335547,0.009374795,73.7725726,599.071192,182.23,341.52,91.92,170.53,35.59594016,114.43,224.21,0.376087773,-0.218361632
-88.02197239,23.64075463,172.07,235.69,63.62,255.9975617,0.020419145,81.13234159,489.895662,185.14,344.6,108.91,164.73,24.7478909,111.6,224.77,0.272991451,-0.152063578
-88.24072181,28.92488119,183.36,247.01,63.65,298.7864091,0.009688638,71.00660029,399.7286656,191.47,325.91,78.9,159.69,15.88324891,105.14,211.41,0.183213518,-0.105496856
-88.24915377,37.71145065,201.57,323.19,121.62,403.098359,-0.006778081,65.80903837,383.1453116,225.26,381.77,58.58,170.75,15.43861551,117.92,230.38,0.167722919,-0.090574204
-88.15004145,36.24881893,153.2,231.23,78.03,380.6618142,0.052037989,68.28017332,380.9706304,279.65,525.86,294.63,197.14,17.75847264,132.96,271.68,0.162811693,-0.088957496
-87.99301023,35.2483267,196.23,293.82,97.59,372.1467764,-0.055580501,62.75547849,454.2811418,249.72,416.68,122.86,197.63,26.06540552,121.1,233.28,0.237394042,-0.1549237
-88.54235924,29.94113276,188.72,275.35,86.63,314.6566587,-0.016382179,80.98748198,520.1082974,225.18,430.52,155.17,183,30.42999366,133.6,260.9,0.304939957,-0.157231737
-88.72530041,33.90047826,159.19,218.03,58.84,354.5160504,0.021294243,87.73624517,672.9996886,153.89,296.33,78.3,161.62,38.70182778,108.95,216.31,0.431016986,-0.248640013
-87.43133906,38.07677573,171.21,262.88,91.67,403.8816709,0.00273397,69.68257544,431.5069779,207.75,350.19,87.31,173.88,20.7078413,108.21,215.43,0.216421412,-0.134937592
