RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.2964,24.2035,177.8043,233.8703,56.066,265.1428,0.0403,65.4136,389.8301,198.8874,345.0873,111.217,163.1252,15.5186,104.3675,212.0327,0.1741,-0.1022
-88.6361,37.4537,204.4368,287.857,83.4202,401.4244,-0.047,71.6315,589.3364,177.996,317.0917,29.2347,168.3479,34.1427,110.6114,214.148,0.3669,-0.2169
-88.9286,26.2907,295.3722,378.4405,83.0683,238.4042,-0.161,58.5195,387.4844,264.3369,425.4861,47.0456,187.6934,17.2539,130.3494,244.4861,0.1717,-0.0903
-88.3277,41.4581,187.547,262.083,74.536,444.6249,-0.0102,67.616,400.0523,186.4589,314.1724,52.0894,153.7722,15.2096,105.6291,208.7638,0.1825,-0.0996
-88.0529,29.1535,151.0382,228.3486,77.3104,311.7435,0.0729,79.8205,482.1049,158.5434,305.1629,76.8143,151.0382,21.6504,101.5773,208.7786,0.2609,-0.1427
-88.1648,26.9182,155.4968,215.1227,59.6259,283.7073,0.058,64.7111,388.4085,257.7297,466.8466,251.7239,193.8981,18.4437,119.7554,241.3125,0.1679,-0.1019
-88.7192,34.6528,205.8871,272.6796,66.7925,363.4863,-0.0356,77.2499,434.6541,154.1839,293.923,21.2434,143.3456,16.4836,103.2493,208.2733,0.2116,-0.1044
-88.789,38.6888,153.2244,210.466,57.2416,415.4554,0.0388,74.4902,526.0354,188.5262,348.4147,137.9486,169.1264,28.9697,112.1871,221.3511,0.3091,-0.178
-88.1657,38.7139,164.1199,237.5193,73.3994,423.2054,0.0242,62.6274,374.9168,226.3098,391.494,153.9747,178.9906,15.5543,109.1937,217.3431,0.1591,-0.0976
-88.4847,24.9509,213.587,277.351,63.764,235.1144,-0.0502,60.188,402.9137,256.6987,427.6012,150.2502,197.5417,20.2272,118.0828,230.0596,0.1841,-0.1216
-88.7851,32.9159,245.7768,347.5994,101.8226,341.8253,-0.1302,65.2403,475.1861,249.9845,426.397,78.7976,190.4796,26.8925,133.1785,249.7042,0.2611,-0.1422
-88.1988,25.9553,195.9334,269.2803,73.3469,254.5951,-0.0348,59.247,483.6248,243.4669,414.8555,145.5753,197.5327,29.4423,119.154,231.4081,0.2666,-0.1743
-88.8918,38.1079,187.5044,257.1531,69.6487,404.3924,-0.0568,72.9718,527.0277,228.3406,406.2876,149.1345,188.8502,32.2699,125.6775,237.9496,0.3123,-0.1806
-88.4086,28.2037,172.2433,245.9882,73.7449,296.393,0.0042,94.1403,666.6803,149.6641,294.3855,48.3972,160.5906,37.8083,108.9438,216.201,0.4249,-0.2386
-88.1742,21.8355,161.0671,212.8049,51.7377,222.2271,0.0198,79.4161,627.7364,155.8485,298.972,86.1671,159.7625,35.1839,105.2649,210.8963,0.3956,-0.2305
-88.154,26.6907,154.3857,217.403,63.0172,288.8974,0.0356,77.1861,601.132,199.7635,392.8519,175.4489,179.2199,37.4158,124.1307,241.4906,0.3795,-0.2023
-88.5235,25.3314,282.6745,370.5553,87.8807,272.6648,-0.1132,64.1529,423.6502,243.7948,405.0824,34.5271,181.4387,20.6459,127.3522,242.5702,0.2085,-0.1116
-88.2452,29.0867,215.9341,307.8054,91.8713,304.0905,-0.032,60.4638,400.7042,249.4168,405.3009,97.4955,193.5398,19.5538,116.7017,226.8583,0.1827,-0.1199
-87.5554,35.8977,124.2613,216.1562,91.8949,381.2861,0.1176,70.6429,376.1184,234.7954,451.97,235.8138,175.9917,15.4678,119.8809,244.9941,0.1602,-0.0844
-89.0274,34.8611,229.309,332.4705,103.1615,366.2942,-0.0811,66.9213,447.8405,250.6037,437.6633,105.1927,185.4347,23.4969,134.8966,252.2286,0.2333,-0.1227
-88.5395,26.8464,229.1196,307.9485,78.8288,269.4038,-0.0822,60.8799,407.1626,247.4013,408.3407,100.3922,187.0397,19.4196,121.7645,232.55,0.1916,-0.1141
-87.6741,36.08,171.1673,262.6056,91.4383,384.1038,0.0035,73.9652,511.4358,180.4417,331.784,69.1784,163.4386,26.2926,108.9095,215.0021,0.2932,-0.1659
-88.802,33.806,230.7063,298.0244,67.3181,355.0266,-0.0954,75.2645,496.5387,186.7153,325.9584,27.934,162.924,25.0903,115.4298,219.8304,0.2791,-0.1507
-88.2521,21.195,196.3787,267.7459,71.3672,226.4101,-0.0179,83.8704,613.8121,159.4031,304.2726,36.5267,160.6363,33.9935,109.623,214.126,0.383,-0.2158
-88.1173,25.5878,217.2062,284.65,67.4438,275.9412,-0.0474,70.4247,417.4966,199.9868,332.6007,47.9507,164.4111,18.0262,109.7146,215.8981,0.2014,-0.1142
-88.5247,25.7717,164.8187,217.1621,52.3434,266.2008,0.0001,81.7488,622.1887,192.9082,362.7423,145.5802,178.9468,39.3451,119.9294,233.2483,0.3976,-0.2242
-88.7872,34.0325,192.3164,256.296,63.9796,358.393,-0.0315,72.4399,527.6733,199.3669,347.2515,90.9555,174.414,30.0517,114.4628,222.9096,0.3118,-0.1874
-88.7305,26.4439,220.253,301.6231,81.3701,281.1861,-0.0594,71.8086,557.1414,220.253,392.8002,91.1771,186.3742,34.8419,126.4073,240.0703,0.3409,-0.1955
-88.6323,18.9623,191.9043,248.5405,56.6362,214.8317,0.005,79.5016,623.1942,152.4036,298.5366,49.9962,157.2808,33.7901,106.1577,213.1208,0.389,-0.2182
-88.3009,25.0952,189.3409,255.944,66.6031,272.9885,0.0018,67.2568,500.9057,204.7334,355.5595,99.6155,176.6221,28.1146,111.4343,219.4783,0.2865,-0.178
-88.6533,34.6275,194.344,267.7781,73.4341,373.5279,-0.0321,69.8251,612.4145,184.5266,327.4225,59.6444,173.0692,37.4485,112.9238,218.1224,0.3888,-0.2387
-88.3364,24.459,196.0361,260.6141,64.5781,228.8281,-0.0046,74.9732,450.9181,170.1748,302.3886,41.7744,152.3496,19.2935,103.5805,207.4909,0.2315,-0.1274
-87.7178,27.2591,183.8184,265.7848,81.9664,280.8424,-0.0055,60.2283,404.6338,245.441,412.2146,146.4298,194.5597,20.2267,113.3148,221.9263,0.1839,-0.1253
-88.3411,36.2895,194.9191,292.6303,97.7113,390.3318,-0.0426,84.2017,636.393,170.1104,321.7112,29.0809,166.9347,37.4806,115.97,224.2387,0.4051,-0.2268
-88.547,23.4719,191.6129,272.6296,81.0167,253.2076,-0.0111,64.9263,501.3461,245.1808,446.3337,173.7041,193.8867,30.8035,128.8939,245.5925,0.2869,-0.1665
-88.5788,23.4031,170.4587,223.3514,52.8927,257.909,0.0398,82.8619,463.9531,147.7178,284.7629,61.4115,144.2039,18.8887,98.6446,206.7721,0.2397,-0.1274
-87.8596,26.1192,180.7537,252.8908,72.1371,280.9231,0.0313,80.7518,459.6654,154.8406,279.4252,26.5344,146.5588,19.1946,99.2514,201.0591,0.238,-0.1322
-88.7391,40.8486,188.1626,262.7641,74.6015,436.5646,-0.066,77.5191,593.1562,179.6343,330.3789,67.6148,168.7584,34.265,114.4764,222.3596,0.3691,-0.2105
-88.4345,26.7769,216.1296,305.1685,89.0389,282.2873,-0.0676,73.3065,475.9576,244.636,430.183,125.0144,190.4965,27.2601,131.3256,252.2013,0.2617,-0.1475
-88.2731,37.4433,187.7708,268.8751,81.1043,404.583,-0.0072,79.1622,484.1609,168.2887,301.2603,32.3852,154.8815,22.4096,105.5974,208.2841,0.2641,-0.1453
-88.7855,31.5425,252.3123,330.9336,78.6212,332.0828,-0.0729,62.6004,383.3788,223.9907,365.3194,34.3859,169.7843,15.2038,116.1819,224.22,0.1679,-0.0874
-88.5448,35.7956,161.6068,231.8568,70.25,370.9682,0.0342,88.0111,437.8986,151.2128,285.0672,53.2104,144.1799,16.7674,100.7998,208.248,0.2143,-0.1108
-87.7892,37.8206,165.0428,248.522,83.4792,399.9845,0.0289,68.1993,405.6097,207.6557,353.1662,104.6442,171.946,17.97,105.4853,213.6923,0.1902,-0.1179
