Model_Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,GNaK,GCaL,GJrel,GJup,Ca50,Myo,Cao
468,1.00386,1.49771,0.912147,1.43611,1.31821,0.678538,1.25968,1.2125,0.95875,1.24044,1.28038,1,1,1
470,1.15693,1.37236,1.26389,0.556693,1.07337,0.903734,0.505151,0.940324,0.649102,0.739553,1.08375,1,1,1
478,1.18879,0.878121,0.98635,1.4654,1.27661,0.722962,1.43026,1.14527,1.34556,1.1715,1.22703,1,1,1
479,0.839431,1.48741,1.49026,1.05271,1.15765,1.38521,1.02003,1.2477,1.12698,0.996071,0.699289,1,1,1
483,1.20308,0.870543,0.970848,0.811163,1.33814,1.1609,0.752121,1.41265,0.698066,1.48981,1.22142,1,1,1
484,0.50874,0.760679,0.966216,0.963217,0.51446,1.14458,1.07398,0.665187,1.15033,0.515239,0.841452,1,1,1
487,1.14075,0.757876,1.31051,1.44558,0.816312,1.16298,1.27049,0.700867,1.31993,1.26223,1.34861,1,1,1
488,0.988317,0.709554,0.525697,0.834061,0.947884,1.36389,0.576564,1.01721,0.911645,1.17359,0.768183,1,1,1
490,0.632049,0.769165,0.891811,1.17464,0.9764,0.675198,1.05159,0.852975,1.22096,1.38133,1.35657,1,1,1
505,0.789913,1.36086,1.04767,1.24735,1.25339,1.15989,0.545029,1.09552,0.806891,1.4095,1.17529,1,1,1
508,1.00605,0.737375,0.729119,0.64067,1.01961,1.21645,1.00076,0.903399,0.964222,1.16952,1.16427,1,1,1
509,1.39423,1.07863,1.0081,1.26828,0.996642,0.939151,0.953775,0.645354,1.02869,0.564415,0.834187,1,1,1
520,0.855656,1.01855,0.782674,0.953853,0.853503,0.727106,0.718676,0.804994,1.07795,1.43312,0.838178,1,1,1
522,0.515908,0.831707,1.3562,0.916827,0.998532,0.649209,1.45302,1.40777,1.37278,0.622173,1.00734,1,1,1
523,1.18009,1.3891,0.737088,1.46775,0.535925,0.74571,1.09926,0.915139,1.30408,1.24909,1.17188,1,1,1
526,0.627767,0.75483,0.972541,0.862348,1.31731,0.866624,0.740571,1.27413,0.857,0.823935,1.05359,1,1,1
532,1.06933,0.828818,1.20981,1.33778,0.758412,1.18869,0.72881,1.25711,0.997312,0.652057,1.35496,1,1,1
533,0.76527,1.10154,0.960209,1.4631,1.42654,1.29367,0.959912,1.1973,1.44107,0.95392,0.856295,1,1,1
535,0.835862,1.10986,1.26054,0.762246,0.558745,1.01824,0.693175,0.686434,0.936584,0.767786,1.01397,1,1,1
546,1.23059,0.903813,0.70579,0.670664,0.817988,1.39037,1.43298,0.888674,1.03025,1.31672,1.15926,1,1,1
547,1.0357,0.973151,1.48625,0.846378,0.988485,0.755105,1.13966,0.805191,0.959613,0.569977,0.891545,1,1,1
551,1.28663,1.49173,1.1462,0.666471,0.61857,0.914226,0.581501,1.16776,0.629081,0.91051,1.08529,1,1,1
552,0.9133,0.842572,1.12963,1.22331,1.25971,0.813165,0.810471,1.03483,1.14533,1.46139,0.753037,1,1,1
554,0.653653,1.36254,0.948508,0.934814,1.49315,1.24374,0.896114,1.12452,0.987284,0.599773,0.961661,1,1,1
558,1.21936,0.813241,0.766641,1.46806,1.38051,1.42241,0.586197,1.28788,0.913067,1.49747,1.23753,1,1,1
559,1.49405,1.49649,1.39086,0.894402,1.20411,1.10524,1.44593,1.34323,1.22131,0.889343,0.945886,1,1,1
562,1.43001,1.42698,0.736222,0.983372,0.701694,0.590283,1.18099,1.44361,1.29159,1.11684,0.850639,1,1,1
563,1.11245,0.931599,0.983221,1.47753,0.675281,0.545762,0.7396,1.21637,1.12316,1.26696,1.1207,1,1,1
570,0.59944,1.27823,1.37057,1.03293,0.567344,0.863375,1.16006,0.71607,0.891903,1.47414,1.16038,1,1,1
574,0.612256,0.865827,0.952936,1.15103,0.750431,1.09144,0.936709,1.31631,1.40365,1.27497,0.88993,1,1,1
577,0.5974,1.13193,1.12174,0.91324,0.500258,0.517519,0.992402,0.707552,1.06433,1.24255,1.20495,1,1,1
578,0.715828,1.35656,1.04445,0.875659,1.36509,1.44742,0.934318,0.853175,0.767274,0.926358,1.19018,1,1,1
579,1.46928,1.0976,0.598955,1.23011,1.02262,0.519509,0.655117,0.565385,1.06053,0.960905,0.669258,1,1,1
580,1.19058,0.940464,0.859695,0.813896,1.34685,1.24583,0.780242,0.914306,1.06258,0.654825,0.713233,1,1,1
581,0.850904,0.852161,0.78894,0.954717,1.13254,0.970677,1.46752,1.12837,1.48139,0.711692,1.24065,1,1,1
582,0.716666,1.02368,1.2421,1.02269,0.764922,0.68105,1.06167,0.945716,1.20434,1.20052,0.784145,1,1,1
584,0.587428,0.740037,1.22398,1.2067,1.31964,1.08379,0.997547,1.21703,1.05073,1.40198,0.640999,1,1,1
586,1.26201,1.36828,1.10221,0.830969,0.740712,0.77781,0.868215,0.919186,0.985376,0.792689,1.03298,1,1,1
589,1.42975,0.854841,0.847126,1.14909,0.757093,1.25914,1.09883,1.05305,1.38572,1.45797,0.660037,1,1,1
594,1.437,0.858347,0.940455,1.48761,0.582465,0.67356,1.32157,0.912221,1.44511,0.617259,0.999846,1,1,1
603,0.842345,1.03785,0.87835,0.856834,1.46677,0.815678,0.593325,1.28946,0.783977,0.786398,0.634242,1,1,1
604,0.540514,0.748638,0.956486,0.63165,0.806851,0.704965,0.97852,1.31957,0.916355,0.791155,0.84907,1,1,1
606,0.807844,1.45007,1.19751,0.761692,0.795955,0.676145,1.38204,1.01088,1.11862,0.561028,0.933801,1,1,1
609,1.08182,0.919797,0.675659,0.973389,0.596755,0.535985,1.1289,0.681428,1.13201,0.936108,0.683409,1,1,1
617,1.34714,1.43464,1.4154,0.823751,0.73686,0.629993,0.605977,1.07786,0.885473,1.12037,0.965136,1,1,1
619,1.03234,1.20444,0.682031,1.30269,0.505564,1.00322,0.738303,1.19292,1.16273,0.562489,1.42003,1,1,1
